ID,Year,Month,Day,Type,Dead,Dead Perpetrator,Injured,Injured Perpetrator,Country,City,Perpetrator
998,2018,5,30,suicide bombings,1,10,5,, Afghanistan,Kabul,Islamic State
999,2018,5,30,shooting,1,10,5,, Afghanistan,Kabul,Islamic State
1000,2018,5,30,grenade attack,1,10,5,, Afghanistan,Kabul,Islamic State
1001,2018,5,30,suicide car bombing,6,3,12,, Afghanistan,Pol-e Alam,Taliban
1002,2018,5,30,shooting,6,3,12,, Afghanistan,Pol-e Alam,Taliban
1003,2018,5,30,grenade attacks,0,,0,, India,Pulwama district,Jaish-e-Mohammed (suspected)
1004,2018,5,30,shooting,1,,0,, Yemen,Zinjibar,Al-Qaeda in the Arabian Peninsula
1005,2018,5,30,bombing,2,,3,, Pakistan,Datta Khel Tehsil,Hizbul Ahrar (suspected)
1006,2018,5,31,suicide car bombing,0,1,8,, Afghanistan,Nahri Saraj District,Taliban
1007,2018,5,31,arson,0,,8,, India,Munger district,CPI
1008,2018,5,31,kidnapping,0,,8,, India,Munger district,CPI
1009,2018,5,31,ambush,5,,0,, Nigeria,Gwoza,Boko Haram
1010,2018,5,31,shooting,1,,0,, Somalia,Mogadishu,Al-Shabaab
1011,2018,5,31,shooting,1,,0,, Colombia,Valdivia,ELN
1012,2018,5,31,bombing,4,,20,, Syria,Jarabulus,Islamic State (suspected)
1013,2018,5,31,shooting,1,,0,, Thailand,Khok Pho District,Barisan Revolusi Nasional (suspected)
1014,2018,6,1,grenade attacks,0,,6,, India,Srinagar district,Jaish-e-Mohammed
1015,2018,6,1,shooting,1,,0,, India,Jamui district,CPI
1016,2018,6,1,shooting,1,,4,, Pakistan,North Waziristan,Hizbul Ahrar
1017,2018,6,1,shooting,72,,Unknown,, Somalia,Moqokori,Al-Shabaab
1018,2018,6,1,mortar attack,72,,Unknown,, Somalia,Moqokori,Al-Shabaab
1019,2018,6,1,bombing,0,,0,, Chile,Santiago,Anarchists
1020,2018,6,1,shooting,4,,10,, Somalia,Bari,Al-Shabaab
1021,2018,6,2,bombing,1,,3,, Afghanistan,Mes Aynak,Taliban
1022,2018,6,2,grenade attacks,0,,8,, India,Srinagar,Jaish-e-Mohammed
1023,2018,6,2,bombing,4,,0,, Iraq,Al-Shirqat District,Islamic State (suspected)
